Month,Product_Category,Units_Sold
1,Electronics,120
1,Clothing,80
1,Food,200
1,Furniture,40
2,Electronics,135
2,Clothing,90
2,Food,210
2,Furniture,45
3,Electronics,150
3,Clothing,110
3,Food,230
3,Furniture,50
4,Electronics,160
4,Clothing,120
4,Food,240
4,Furniture,55
5,Electronics,170
5,Clothing,130
5,Food,250
5,Furniture,60
6,Electronics,180
6,Clothing,140
6,Food,260
6,Furniture,65
7,Electronics,175
7,Clothing,145
7,Food,270
7,Furniture,70
8,Electronics,165
8,Clothing,135
8,Food,265
8,Furniture,68
9,Electronics,155
9,Clothing,125
9,Food,255
9,Furniture,62
10,Electronics,145
10,Clothing,115
10,Food,245
10,Furniture,58
11,Electronics,190
11,Clothing,160
11,Food,300
11,Furniture,75
12,Electronics,220
12,Clothing,200
12,Food,350
12,Furniture,90
